MXEF Index,
Date,PX_LAST
#NAME?,332.53
1/11/2002,325.83
1/18/2002,320.6
1/25/2002,328.45
2/1/2002,327.03
2/8/2002,324.85
2/15/2002,334.42
2/22/2002,326.82
3/1/2002,336.7
3/8/2002,346.71
3/15/2002,346.7
3/22/2002,351.31
3/29/2002,351.43
4/5/2002,354.58
4/12/2002,352.31
4/19/2002,363.42
4/26/2002,358.17
5/3/2002,354.06
5/10/2002,349.25
5/17/2002,360.73
5/24/2002,356.52
5/31/2002,346.28
6/7/2002,340.31
6/14/2002,336.24
6/21/2002,324.11
6/28/2002,319.75
7/5/2002,326.21
7/12/2002,328.12
7/19/2002,321.25
7/26/2002,292.32
8/2/2002,293.25
8/9/2002,292.81
8/16/2002,298.19
8/23/2002,301.54
8/30/2002,298.89
9/6/2002,289.1
9/13/2002,292.52
9/20/2002,281.26
9/27/2002,270.7
10/4/2002,269.62
10/11/2002,255.98
10/18/2002,276.85
10/25/2002,279.99
11/1/2002,282.09
11/8/2002,292.75
11/15/2002,292.44
11/22/2002,297.33
11/29/2002,302.36
12/6/2002,299.28
12/13/2002,298.58
12/20/2002,301.89
12/27/2002,295.99
1/3/2003,299.98
1/10/2003,302.86
1/17/2003,301.96
1/24/2003,293.9
1/31/2003,290.44
2/7/2003,284.59
2/14/2003,279.25
2/21/2003,286.75
2/28/2003,281.29
3/7/2003,274.43
3/14/2003,275.25
3/21/2003,282.19
3/28/2003,277.32
4/4/2003,281.02
4/11/2003,284.7
4/18/2003,297.28
4/25/2003,285.77
5/2/2003,296.71
5/9/2003,302.46
5/16/2003,303.02
5/23/2003,307.08
5/30/2003,315.44
6/6/2003,324.48
6/13/2003,330.16
6/20/2003,336.28
6/27/2003,333.57
7/4/2003,344.82
7/11/2003,346.42
7/18/2003,344.54
7/25/2003,350.41
8/1/2003,353.23
8/8/2003,349.61
8/15/2003,362.18
8/22/2003,372.85
8/29/2003,375.52
9/5/2003,384.73
9/12/2003,383.97
9/19/2003,382.83
9/26/2003,376.66
10/3/2003,390.32
10/10/2003,407.88
10/17/2003,409.65
10/24/2003,400.68
10/31/2003,409.11
11/7/2003,416.47
11/14/2003,417.67
11/21/2003,403.72
11/28/2003,413.33
12/5/2003,419.68
12/12/2003,426.37
12/19/2003,427.76
12/26/2003,433.36
1/2/2004,450.7
1/9/2004,468.07
1/16/2004,459.11
1/23/2004,467.9
1/30/2004,457.19
2/6/2004,459.98
2/13/2004,480.05
2/20/2004,475.48
2/27/2004,477.73
3/5/2004,488.31
3/12/2004,466.8
3/19/2004,476.81
3/26/2004,466.63
4/2/2004,487.02
4/9/2004,493.89
4/16/2004,482.35
4/23/2004,478.23
4/30/2004,441.3
5/7/2004,433.52
5/14/2004,409.14
5/21/2004,419.41
5/28/2004,434.13
6/4/2004,422.33
