SPX Index,
Date,PX_LAST
1/4/2002,1172.51
1/11/2002,1145.6
1/18/2002,1127.58
1/25/2002,1133.28
2/1/2002,1122.2
2/8/2002,1096.22
2/15/2002,1104.18
2/22/2002,1089.84
3/1/2002,1131.78
3/8/2002,1164.31
3/15/2002,1166.16
3/22/2002,1148.7
3/29/2002,1147.39
4/5/2002,1122.73
4/12/2002,1111.01
4/19/2002,1125.17
4/26/2002,1076.32
5/3/2002,1073.43
5/10/2002,1054.99
5/17/2002,1106.59
5/24/2002,1083.82
5/31/2002,1067.14
6/7/2002,1027.53
6/14/2002,1007.27
6/21/2002,989.14
6/28/2002,989.81
7/5/2002,989.03
7/12/2002,921.39
7/19/2002,847.76
7/26/2002,852.84
8/2/2002,864.24
8/9/2002,908.64
8/16/2002,928.77
8/23/2002,940.86
8/30/2002,916.07
9/6/2002,893.92
9/13/2002,889.81
9/20/2002,845.39
9/27/2002,827.37
10/4/2002,800.58
10/11/2002,835.32
10/18/2002,884.39
10/25/2002,897.65
11/1/2002,900.96
11/8/2002,894.74
11/15/2002,909.83
11/22/2002,930.55
11/29/2002,936.31
12/6/2002,912.23
12/13/2002,889.48
12/20/2002,895.75
12/27/2002,875.4
1/3/2003,908.59
1/10/2003,927.57
1/17/2003,901.78
1/24/2003,861.4
1/31/2003,855.7
2/7/2003,829.69
2/14/2003,834.89
2/21/2003,848.17
2/28/2003,841.15
3/7/2003,828.89
3/14/2003,833.27
3/21/2003,895.79
3/28/2003,863.5
4/4/2003,878.85
4/11/2003,868.3
4/18/2003,893.58
4/25/2003,898.81
5/2/2003,930.08
5/9/2003,933.41
5/16/2003,944.3
5/23/2003,933.22
5/30/2003,963.59
6/6/2003,987.76
6/13/2003,988.61
6/20/2003,995.69
6/27/2003,976.22
7/4/2003,985.7
7/11/2003,998.14
7/18/2003,993.32
7/25/2003,998.68
8/1/2003,980.15
8/8/2003,977.59
8/15/2003,990.67
8/22/2003,993.06
8/29/2003,1008.01
9/5/2003,1021.39
9/12/2003,1018.63
9/19/2003,1036.3
9/26/2003,996.85
10/3/2003,1029.85
10/10/2003,1038.06
10/17/2003,1039.32
10/24/2003,1028.91
10/31/2003,1050.71
11/7/2003,1053.21
11/14/2003,1050.35
11/21/2003,1035.28
11/28/2003,1058.2
12/5/2003,1061.5
12/12/2003,1074.14
12/19/2003,1088.67
12/26/2003,1095.89
1/2/2004,1108.48
1/9/2004,1121.86
1/16/2004,1139.83
1/23/2004,1141.55
1/30/2004,1131.13
2/6/2004,1142.76
2/13/2004,1145.81
2/20/2004,1144.11
2/27/2004,1144.94
3/5/2004,1156.87
3/12/2004,1120.57
3/19/2004,1109.78
3/26/2004,1108.06
4/2/2004,1141.81
4/9/2004,1139.32
4/16/2004,1134.61
4/23/2004,1140.6
4/30/2004,1107.3
5/7/2004,1098.7
5/14/2004,1095.7
5/21/2004,1093.56
5/28/2004,1120.68
6/4/2004,1122.5
6/11/2004,1136.47
6/18/2004,1135.02
6/25/2004,1134.43
7/2/2004,1125.38
7/9/2004,1112.81
7/16/2004,1101.39
7/23/2004,1086.2
7/30/2004,1101.72
8/6/2004,1063.97
8/13/2004,1064.8
8/20/2004,1098.35
8/27/2004,1107.77
9/3/2004,1113.63
9/10/2004,1123.92
9/17/2004,1128.55
9/24/2004,1110.11
10/1/2004,1131.5
10/8/2004,1122.14
10/15/2004,1108.2
10/22/2004,1095.74
10/29/2004,1130.2
11/5/2004,1166.17
11/12/2004,1184.17
11/19/2004,1170.34
11/26/2004,1182.65
12/3/2004,1191.17
12/10/2004,1188
12/17/2004,1194.22
12/24/2004,1210.13
12/31/2004,1211.92
1/7/2005,1186.19
1/14/2005,1184.52
1/21/2005,1167.87
1/28/2005,1171.36
2/4/2005,1203.03
2/11/2005,1205.3
2/18/2005,1201.59
2/25/2005,1211.37
3/4/2005,1222.12
3/11/2005,1200.08
3/18/2005,1189.65
3/25/2005,1171.42
4/1/2005,1172.92
4/8/2005,1181.2
4/15/2005,1142.62
4/22/2005,1152.12
4/29/2005,1156.85
5/6/2005,1171.35
5/13/2005,1154.05
5/20/2005,1189.28
5/27/2005,1198.78
6/3/2005,1196.02
6/10/2005,1198.11
6/17/2005,1216.96
6/24/2005,1191.57
7/1/2005,1194.44
7/8/2005,1211.86
7/15/2005,1227.92
7/22/2005,1233.68
7/29/2005,1234.18
8/5/2005,1226.42
8/12/2005,1230.39
8/19/2005,1219.71
8/26/2005,1205.1
9/2/2005,1218.02
9/9/2005,1241.48
9/16/2005,1237.91
9/23/2005,1215.29
9/30/2005,1228.81
10/7/2005,1195.9
10/14/2005,1186.57
10/21/2005,1179.59
10/28/2005,1198.41
11/4/2005,1220.14
11/11/2005,1234.72
11/18/2005,1248.27
11/25/2005,1268.25
12/2/2005,1265.08
12/9/2005,1259.37
12/16/2005,1267.32
12/23/2005,1268.66
12/30/2005,1248.29
1/6/2006,1285.45
1/13/2006,1287.61
1/20/2006,1261.49
1/27/2006,1283.72
2/3/2006,1264.03
2/10/2006,1266.99
2/17/2006,1287.24
2/24/2006,1289.43
3/3/2006,1287.23
3/10/2006,1281.58
3/17/2006,1307.25
3/24/2006,1302.95
3/31/2006,1294.83
4/7/2006,1295.5
4/14/2006,1289.12
4/21/2006,1311.28
4/28/2006,1310.61
5/5/2006,1325.76
5/12/2006,1291.24
5/19/2006,1267.03
5/26/2006,1280.16
6/2/2006,1288.22
6/9/2006,1252.3
6/16/2006,1251.54
6/23/2006,1244.5
6/30/2006,1270.2
7/7/2006,1265.48
7/14/2006,1236.2
7/21/2006,1240.29
7/28/2006,1278.55
8/4/2006,1279.36
8/11/2006,1266.74
8/18/2006,1302.3
8/25/2006,1295.09
9/1/2006,1311.01
