S5INFT Index,,,,,,,,,,,,,,,,,,,,,,,S5FINL Index,,,,,,,,,,,,,,,,,,,,,,,S5ENRS Index,,,,,,,,,,,,,,,,,,,,,,,S5HLTH Index,,,,,,,,,,,,,,,,,,,,,,,S5CONS Index,,,,,,,,,,,,,,,,,,,,,,,S5COND Index,,,,,,,,,,,,,,,,,,,,,,,S5INDU Index,,,,,,,,,,,,,,,,,,,,,,,S5UTIL Index,,,,,,,,,,,,,,,,,,,,,,,S5TELS Index,,,,,,,,,,,,,,,,,,,,,,,S5MATR Index,,,,,,,,,,,,,,,,,,,,,,,GDP CURY Index,,,,,CPI XYOY Index,,,,,,,DXY Curncy,,,USGG5YR Index,,,BCOM Index,,,VIX Index,
Date,PX_LAST,RSI_30D,PCT_MEMB_PX_GT_50D_MOV_AVG,PCT_MEMB_PX_GT_250D_MOV_AVG,PCT_MEM_MACD_BUY_SIGNAL_LST_10D,PCT_MEM_MACD_SL_SIGNAL_LST_10D,VOLATILITY_260D,VOLATILITY_30D,PX_VOLUME,INDX_ADJ_PE,INDX_PX_BOOK,INDX_PX_SALES,GROSS_AGGTE_DVD_YLD,PX_TO_CASH_FLOW,PX_TO_EBITDA,OPER_MARGIN,PROF_MARGIN,GROSS_MARGIN,CUR_RATIO,CASH_FLOW_PER_SH,TOT_DEBT_TO_TOT_EQY,,Date,PX_LAST,RSI_30D,PCT_MEMB_PX_GT_50D_MOV_AVG,PCT_MEMB_PX_GT_250D_MOV_AVG,PCT_MEM_MACD_BUY_SIGNAL_LST_10D,PCT_MEM_MACD_SL_SIGNAL_LST_10D,VOLATILITY_260D,VOLATILITY_30D,PX_VOLUME,INDX_ADJ_PE,INDX_PX_BOOK,INDX_PX_SALES,GROSS_AGGTE_DVD_YLD,PX_TO_CASH_FLOW,PX_TO_EBITDA,OPER_MARGIN,PROF_MARGIN,GROSS_MARGIN,CUR_RATIO,CASH_FLOW_PER_SH,TOT_DEBT_TO_TOT_EQY,,Date,PX_LAST,RSI_30D,PCT_MEMB_PX_GT_50D_MOV_AVG,PCT_MEMB_PX_GT_250D_MOV_AVG,PCT_MEM_MACD_BUY_SIGNAL_LST_10D,PCT_MEM_MACD_SL_SIGNAL_LST_10D,VOLATILITY_260D,VOLATILITY_30D,PX_VOLUME,INDX_ADJ_PE,INDX_PX_BOOK,INDX_PX_SALES,GROSS_AGGTE_DVD_YLD,PX_TO_CASH_FLOW,PX_TO_EBITDA,OPER_MARGIN,PROF_MARGIN,GROSS_MARGIN,CUR_RATIO,CASH_FLOW_PER_SH,TOT_DEBT_TO_TOT_EQY,,Date,PX_LAST,RSI_30D,PCT_MEMB_PX_GT_50D_MOV_AVG,PCT_MEMB_PX_GT_250D_MOV_AVG,PCT_MEM_MACD_BUY_SIGNAL_LST_10D,PCT_MEM_MACD_SL_SIGNAL_LST_10D,VOLATILITY_260D,VOLATILITY_30D,PX_VOLUME,INDX_ADJ_PE,INDX_PX_BOOK,INDX_PX_SALES,GROSS_AGGTE_DVD_YLD,PX_TO_CASH_FLOW,PX_TO_EBITDA,OPER_MARGIN,PROF_MARGIN,GROSS_MARGIN,CUR_RATIO,CASH_FLOW_PER_SH,TOT_DEBT_TO_TOT_EQY,,Date,PX_LAST,RSI_30D,PCT_MEMB_PX_GT_50D_MOV_AVG,PCT_MEMB_PX_GT_250D_MOV_AVG,PCT_MEM_MACD_BUY_SIGNAL_LST_10D,PCT_MEM_MACD_SL_SIGNAL_LST_10D,VOLATILITY_260D,VOLATILITY_30D,PX_VOLUME,INDX_ADJ_PE,INDX_PX_BOOK,INDX_PX_SALES,GROSS_AGGTE_DVD_YLD,PX_TO_CASH_FLOW,PX_TO_EBITDA,OPER_MARGIN,PROF_MARGIN,GROSS_MARGIN,CUR_RATIO,CASH_FLOW_PER_SH,TOT_DEBT_TO_TOT_EQY,,Date,PX_LAST,RSI_30D,PCT_MEMB_PX_GT_50D_MOV_AVG,PCT_MEMB_PX_GT_250D_MOV_AVG,PCT_MEM_MACD_BUY_SIGNAL_LST_10D,PCT_MEM_MACD_SL_SIGNAL_LST_10D,VOLATILITY_260D,VOLATILITY_30D,PX_VOLUME,INDX_ADJ_PE,INDX_PX_BOOK,INDX_PX_SALES,GROSS_AGGTE_DVD_YLD,PX_TO_CASH_FLOW,PX_TO_EBITDA,OPER_MARGIN,PROF_MARGIN,GROSS_MARGIN,CUR_RATIO,CASH_FLOW_PER_SH,TOT_DEBT_TO_TOT_EQY,,Date,PX_LAST,RSI_30D,PCT_MEMB_PX_GT_50D_MOV_AVG,PCT_MEMB_PX_GT_250D_MOV_AVG,PCT_MEM_MACD_BUY_SIGNAL_LST_10D,PCT_MEM_MACD_SL_SIGNAL_LST_10D,VOLATILITY_260D,VOLATILITY_30D,PX_VOLUME,INDX_ADJ_PE,INDX_PX_BOOK,INDX_PX_SALES,GROSS_AGGTE_DVD_YLD,PX_TO_CASH_FLOW,PX_TO_EBITDA,OPER_MARGIN,PROF_MARGIN,GROSS_MARGIN,CUR_RATIO,CASH_FLOW_PER_SH,TOT_DEBT_TO_TOT_EQY,,Date,PX_LAST,RSI_30D,PCT_MEMB_PX_GT_50D_MOV_AVG,PCT_MEMB_PX_GT_250D_MOV_AVG,PCT_MEM_MACD_BUY_SIGNAL_LST_10D,PCT_MEM_MACD_SL_SIGNAL_LST_10D,VOLATILITY_260D,VOLATILITY_30D,PX_VOLUME,INDX_ADJ_PE,INDX_PX_BOOK,INDX_PX_SALES,GROSS_AGGTE_DVD_YLD,PX_TO_CASH_FLOW,PX_TO_EBITDA,OPER_MARGIN,PROF_MARGIN,GROSS_MARGIN,CUR_RATIO,CASH_FLOW_PER_SH,TOT_DEBT_TO_TOT_EQY,,Date,PX_LAST,RSI_30D,PCT_MEMB_PX_GT_50D_MOV_AVG,PCT_MEMB_PX_GT_250D_MOV_AVG,PCT_MEM_MACD_BUY_SIGNAL_LST_10D,PCT_MEM_MACD_SL_SIGNAL_LST_10D,VOLATILITY_260D,VOLATILITY_30D,PX_VOLUME,INDX_ADJ_PE,INDX_PX_BOOK,INDX_PX_SALES,GROSS_AGGTE_DVD_YLD,PX_TO_CASH_FLOW,PX_TO_EBITDA,OPER_MARGIN,PROF_MARGIN,GROSS_MARGIN,CUR_RATIO,CASH_FLOW_PER_SH,TOT_DEBT_TO_TOT_EQY,,Date,PX_LAST,RSI_30D,PCT_MEMB_PX_GT_50D_MOV_AVG,PCT_MEMB_PX_GT_250D_MOV_AVG,PCT_MEM_MACD_BUY_SIGNAL_LST_10D,PCT_MEM_MACD_SL_SIGNAL_LST_10D,VOLATILITY_260D,VOLATILITY_30D,PX_VOLUME,INDX_ADJ_PE,INDX_PX_BOOK,INDX_PX_SALES,GROSS_AGGTE_DVD_YLD,PX_TO_CASH_FLOW,PX_TO_EBITDA,OPER_MARGIN,PROF_MARGIN,GROSS_MARGIN,CUR_RATIO,CASH_FLOW_PER_SH,TOT_DEBT_TO_TOT_EQY,,Date,PX_LAST,PX_LAST_ACTUAL,PX_LAST_ALL_SESSIONS,,Date,PX_LAST,PX_LAST_ACTUAL,PX_LAST_ALL_SESSIONS,,,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST
#NAME?,384.57,46.95,84.81,47.44,8.86,10.13,53.96,37.48,3132414752,77.3945,5.3167,3.4569,0.18,24.1677,31.7563,1.02,-18.81,34.07,1.91,15.91,30.17,,#NAME?,361.18,46.32,76.39,52.78,5.56,13.89,24.62,17.51,522786496,20.0128,2.654,2.767,1.78,19.9211,#N/A N/A,16.3,10.07,#N/A N/A,#N/A N/A,18.13,537.98,,1/4/2002,211.43,41.22,83.33,33.33,4.17,29.17,24.62,20.67,232027204,15.3497,2.7947,1.1461,2.24,7.1884,6.2363,11.57,6.46,23.91,1.08,29.41,44.94,,#NAME?,380.44,46.03,48.89,56.82,11.11,31.11,20.22,10.93,473233096,28.6953,7.4999,2.9544,1.13,23.8882,16.848,14.76,9.61,41.78,1.13,15.93,43.78,,1/4/2002,216.15,51.44,50,67.65,5.88,32.35,16.03,10.47,208270400,21.4278,6.6915,1.4333,2.04,14.194,9.714,11.34,6.19,36.74,0.95,15.23,126.31,,#NAME?,244.7098,45.55,89.77,72.73,3.41,25,29.54,20.09,727714208,34.6787,2.7337,0.9464,0.78,9.7326,9.7408,4.3,1.25,24.72,1.36,25.14,122.15,,1/4/2002,268.28,44.66,92.65,71.64,5.88,26.47,28.18,17.04,414682304,26.8408,3.9901,1.6415,1.32,12.3014,10.5091,10.33,4.6,32.65,0.85,21.81,161.99,,#NAME?,145.85,32.28,76.32,44.74,13.16,2.63,26.54,26.82,171348500,11.7457,1.6555,0.7302,3.55,4.9578,3.5955,13.77,4.89,43.48,0.81,29.42,158.04,,1/4/2002,172.57,41.76,69.23,30.77,15.38,7.69,29.49,17.1,324590000,37.0127,2.1848,2.1059,1.79,7.6316,6.1968,13.69,3.42,55.74,0.74,22.61,85.82,,1/4/2002,138.32,47.47,87.18,74.36,7.69,7.69,27.08,22.85,157573400,36.4606,2.3625,1.0721,2.23,11.1046,7.5361,6.89,2.32,18.67,1.22,12.46,82.75,,#NAME?,,,,,#NAME?,,,,,,,#NAME?,116.33,,#NAME?,4.429,,#NAME?,91.4464,,#NAME?,20.45
1/11/2002,374.66,46.06,73.42,42.31,10.13,16.46,52.78,35.29,3975510912,75.3994,5.1797,3.3678,0.19,23.5447,30.9377,1.02,-18.81,34.07,1.91,15.91,30.17,,1/11/2002,353.82,45.05,68.06,52.78,1.39,29.17,24.45,15.63,673960688,19.5785,2.5989,2.7106,1.81,19.7765,#N/A N/A,16.32,10.1,#N/A N/A,#N/A N/A,17.89,538.53,,1/11/2002,204.06,39.65,50,16.67,0,62.5,24.24,19.93,248158200,14.8144,2.6972,1.1062,2.32,6.9377,6.0188,11.57,6.46,23.91,1.08,29.41,44.94,,1/11/2002,382.85,46.63,44.44,52.27,17.78,20,20.07,11.01,570684496,28.9025,7.5512,2.9764,1.13,24.056,16.971,14.76,9.61,41.79,1.13,15.91,43.75,,1/11/2002,214.93,50.75,41.18,58.82,0,32.35,15.84,9.15,266261300,21.3039,6.6514,1.4252,2.05,14.103,9.6573,11.34,6.2,36.74,0.95,15.24,126.26,,1/11/2002,238.5898,44.26,78.41,65.91,4.55,39.77,29.19,19.85,933503024,33.8174,2.6658,0.9229,0.8,9.4909,9.4989,4.3,1.25,24.72,1.36,25.14,122.15,,1/11/2002,255.87,42.17,75,62.69,2.94,44.12,27.91,16.75,497838192,25.5774,3.8026,1.5643,1.38,11.7224,10.0144,10.33,4.6,32.65,0.85,21.83,161.99,,1/11/2002,143.55,31.72,68.42,42.11,5.26,34.21,26.21,24.15,222992900,11.5592,1.6292,0.7186,3.61,4.8791,3.5384,13.77,4.89,43.48,0.81,29.42,158.04,,1/11/2002,164.81,39.28,30.77,15.38,0,0,28.11,18.68,537807696,35.348,2.0866,2.0111,1.87,7.2883,5.9181,13.69,3.42,55.74,0.74,22.61,85.82,,1/11/2002,131.16,44.33,61.54,66.67,5.13,33.33,26.46,23.95,252897500,34.5735,2.2402,1.0166,2.35,10.5299,7.1461,6.89,2.32,18.67,1.22,12.46,82.75,,,,,,,,,,,,,,1/11/2002,116.64,,1/11/2002,4.087,,1/11/2002,91.0633,,1/11/2002,22.6
1/18/2002,358.14,44.6,41.77,35.9,0,36.71,49.93,34.26,3855995520,72.0762,4.9514,3.2193,0.2,22.507,29.5741,1.02,-18.81,34.07,1.91,15.91,30.17,,1/18/2002,355.48,45.4,64.38,54.79,4.11,32.88,23.86,15.31,711979488,19.6831,2.6107,2.7282,1.82,19.8653,#N/A N/A,16.33,10.13,#N/A N/A,#N/A N/A,17.89,537.15,,1/18/2002,200.98,39.01,20.83,12.5,0,33.33,24.07,18.03,230614800,14.5907,2.6565,1.0895,2.36,6.8329,5.9279,11.57,6.46,23.91,1.08,29.41,44.94,,1/18/2002,378.51,45.69,48.89,52.27,8.89,4.44,19.55,10.99,599042800,28.5733,7.4652,2.9425,1.14,23.782,16.7777,14.76,9.61,41.79,1.13,15.92,43.75,,1/18/2002,218.62,52.74,61.76,73.53,11.76,5.88,15.07,9.17,240580000,21.67,6.7657,1.4497,2.02,14.3453,9.8232,11.34,6.2,36.74,0.95,15.24,126.26,,1/18/2002,234.4545,43.4,58.62,64.37,1.15,41.38,27.84,16.04,955656096,33.3506,2.6571,0.9353,0.82,9.4345,9.3979,4.44,1.33,24.86,1.35,24.85,122.72,,1/18/2002,252.69,41.56,55.88,52.24,0,35.29,27.04,16.15,697898704,25.2525,3.7548,1.5444,1.4,11.5735,9.8872,10.33,4.6,32.65,0.85,21.83,161.99,,1/18/2002,141.67,31.27,63.16,39.47,5.26,39.47,25.51,23.09,261489100,11.4075,1.6078,0.7091,3.66,4.815,3.4919,13.77,4.89,43.48,0.81,29.42,158.04,,1/18/2002,159.35,37.66,15.38,7.69,0,7.69,27.02,18.74,551972504,34.1784,2.0175,1.9446,1.94,7.0471,5.7222,13.69,3.42,55.74,0.74,22.61,85.82,,1/18/2002,124.2,41.56,23.08,48.72,0,25.64,26.53,23.68,282603800,32.7403,2.1215,0.9627,2.48,9.9716,6.7672,6.89,2.32,18.67,1.22,12.46,82.75,,,,,,,,,,,,,,1/18/2002,117.64,,1/18/2002,4.163,,1/18/2002,88.738,,1/18/2002,22.52
1/25/2002,355.26,44.34,37.97,37.18,2.53,18.99,49.67,36.29,3228539712,71.5595,4.9113,3.1939,0.2,22.3219,29.3438,1.02,-18.82,34.07,1.91,15.92,30.17,,1/25/2002,357.66,45.87,72.6,67.12,9.59,19.18,23.62,14.47,520411000,19.804,2.6268,2.7449,1.81,19.9874,#N/A N/A,16.33,10.13,#N/A N/A,#N/A N/A,17.89,537.15,,1/25/2002,208.35,41.36,79.17,29.17,4.17,0,24.05,18.86,208659800,15.1009,2.7501,1.1301,2.28,7.0638,6.1291,11.6,6.46,23.93,1.08,29.5,45.4,,1/25/2002,379.99,46.07,57.78,59.09,8.89,11.11,18.96,10.42,553204400,28.6705,7.4854,2.9539,1.14,23.8585,16.8317,14.77,9.61,41.8,1.13,15.93,43.72,,1/25/2002,218.58,52.71,52.94,67.65,17.65,5.88,14.16,8.79,214900900,21.6659,6.7644,1.4494,2.02,14.3426,9.8214,11.34,6.2,36.74,0.95,15.24,126.26,,1/25/2002,235.09,43.57,64.37,66.67,4.6,18.39,27.57,13.88,760105088,33.4882,2.6681,0.9392,0.81,9.4735,9.4367,4.44,1.33,24.86,1.35,24.82,122.72,,1/25/2002,256.1,42.49,60.29,62.69,1.47,7.35,27,16.29,571210992,25.6048,3.8083,1.5659,1.38,11.735,10.0251,10.33,4.6,32.65,0.85,21.82,161.99,,1/25/2002,140.41,30.96,52.63,34.21,2.63,26.32,24.63,19.32,167636500,11.3096,1.594,0.7031,3.69,4.7737,3.462,13.77,4.89,43.48,0.81,29.41,158.04,,1/25/2002,157.18,37.03,7.69,15.38,7.69,15.38,26.34,20.03,380565792,33.7124,1.99,1.9181,1.96,6.9511,5.6442,13.69,3.42,55.74,0.74,22.61,85.82,,1/25/2002,133.1,46.02,64.1,69.23,7.69,12.82,26.33,25.29,223473100,35.0855,2.2734,1.0316,2.32,10.6858,7.2519,6.89,2.32,18.67,1.22,12.46,82.75,,,,,,,,,,,,,,1/25/2002,119.85,,1/25/2002,4.406,,1/25/2002,89.0317,,1/25/2002,21.01
2/1/2002,351.75,44.03,36.25,32.91,8.75,12.5,49.36,35.33,3642242176,75.8552,4.858,3.2046,0.2,21.4186,29.9203,0.63,-19.13,33.89,1.92,16.42,30.65,,2/1/2002,345.01,43.62,56.76,58.11,6.76,17.57,24,20.05,932414096,19.252,2.5265,2.6346,1.89,19.0864,#N/A N/A,16.22,10.03,#N/A N/A,#N/A N/A,18.08,532.84,,2/1/2002,208.12,41.31,79.17,29.17,20.83,4.17,24.12,19.37,276260604,15.0843,2.747,1.1289,2.28,7.056,6.1223,11.6,6.46,23.93,1.08,29.5,45.4,,2/1/2002,382.29,46.67,57.78,54.55,8.89,17.78,18.7,11.18,643163704,28.8395,7.5265,2.9646,1.13,23.9825,16.9245,14.74,9.59,41.74,1.13,15.94,43.71,,2/1/2002,220.83,53.93,61.76,70.59,14.71,8.82,14.04,10.53,298392900,21.9352,6.8149,1.4635,1.99,14.3904,9.9318,11.33,6.18,36.71,0.95,15.35,125.43,,2/1/2002,237.09,44.13,66.67,67.82,9.2,6.9,27.61,16.3,956140208,33.2236,2.6882,0.9427,0.78,9.5148,9.465,4.48,1.41,24.88,1.37,24.92,122.13,,2/1/2002,250.5,41.37,63.24,67.16,7.35,4.41,27.23,19.89,1071779680,25.1327,3.7308,1.534,1.41,11.4542,9.8233,10.31,4.59,32.64,0.85,21.87,162.2,,2/1/2002,138.15,30.4,40.54,29.73,5.41,8.11,24.4,16.8,370269508,11.0281,1.5743,0.6926,3.79,4.7153,3.4021,13.82,4.95,43.41,0.81,29.3,157.81,,2/1/2002,152.04,35.57,7.69,7.69,23.08,0,26.41,20.89,949658088,32.61,1.9249,1.8554,2.03,6.7238,5.4596,13.69,3.42,55.74,0.74,22.61,85.82,,2/1/2002,134.6,46.73,78.38,67.57,18.42,0,26.2,23.7,212311000,35.1076,2.3006,1.0444,2.14,10.8093,7.2882,6.99,2.36,18.74,1.22,12.45,83.65,,,,,,,,,,,,,,2/1/2002,119.69,,2/1/2002,4.297,,2/1/2002,89.5971,,2/1/2002,21.12
2/8/2002,332.67,42.33,16.25,21.52,2.5,11.25,49.05,35.09,4150225152,72.1596,4.5942,3.0328,0.21,20.2912,28.3917,0.59,-19.18,33.87,1.92,16.39,30.64,,2/8/2002,338.94,42.58,47.3,47.3,2.7,18.92,24.29,24.04,878378304,18.9135,2.4821,2.5882,1.92,18.7508,#N/A N/A,16.22,10.03,#N/A N/A,#N/A N/A,18.08,532.84,,2/8/2002,202.72,40.1,37.5,20.83,16.67,0,24.16,19.9,208647400,14.6929,2.6757,1.0996,2.35,6.8729,5.9635,11.6,6.46,23.93,1.08,29.5,45.4,,2/8/2002,375.22,45.07,42.22,54.55,4.44,11.11,18.72,13.86,620155896,28.3067,7.3875,2.9098,1.15,23.5394,16.6118,14.74,9.59,41.74,1.13,15.94,43.71,,2/8/2002,219.92,53.36,50,64.71,8.82,20.59,13.98,10.84,291536596,21.8669,6.7921,1.4584,2,14.3797,9.9086,11.31,6.19,36.73,0.95,15.29,125.27,,2/8/2002,236.81,44.07,59.77,68.97,9.2,27.59,27.69,17.9,948632288,33.0084,2.6609,0.9361,0.78,9.3147,9.4022,4.47,1.36,24.85,1.38,25.42,120.75,,2/8/2002,246.18,40.53,60.29,59.7,5.88,20.59,27.43,23.24,921366296,24.6971,3.6658,1.5074,1.43,11.2557,9.653,10.31,4.59,32.64,0.85,21.87,162.2,,2/8/2002,132.43,29.04,35.14,29.73,8.11,8.11,24.31,17.68,355810196,10.5735,1.5095,0.664,3.92,4.521,3.2619,13.82,4.95,43.41,0.81,29.29,157.81,,2/8/2002,145.28,33.76,7.69,7.69,23.08,0,27.11,29.17,1413678496,31.1601,1.8393,1.7729,2.12,6.4248,5.2169,13.69,3.42,55.74,0.74,22.61,85.82,,2/8/2002,134.38,46.64,70.27,67.57,5.26,21.05,26.13,24.1,213949100,35.0503,2.2968,1.0427,2.16,10.7917,7.2763,6.99,2.36,18.74,1.22,12.45,83.65,,,,,,,,,,,,,,2/8/2002,118.98,,2/8/2002,4.17,,2/8/2002,90.0159,,2/8/2002,23.26
2/15/2002,329.38,42.04,21.25,26.58,23.75,5,48.96,32.29,3401923712,71.446,4.5488,3.0028,0.21,20.0905,28.111,0.59,-19.18,33.87,1.92,16.39,30.64,,2/15/2002,339.37,42.68,54.67,58.67,22.67,4,24.39,24.53,663571496,18.9259,2.4854,2.5935,1.92,18.7936,#N/A N/A,16.24,10.05,#N/A N/A,#N/A N/A,18.06,532.08,,2/15/2002,206.84,41.45,58.33,25,8.33,0,23.95,20.22,224122300,14.9915,2.7301,1.1219,2.31,7.0126,6.0847,11.6,6.46,23.93,1.08,29.5,45.4,,2/15/2002,382.04,46.89,55.56,59.09,33.33,17.78,18.58,14.05,525033392,28.8165,7.5205,2.9622,1.15,23.9634,16.911,14.74,9.59,41.74,1.13,15.94,43.71,,2/15/2002,225.66,56.38,70.59,76.47,17.65,20.59,13.85,10.26,207772400,22.4376,6.9694,1.4964,1.95,14.755,10.1673,11.31,6.19,36.73,0.95,15.29,125.27,,2/15/2002,240.28,45.08,71.26,74.71,5.75,11.49,27.7,18.78,782263392,33.3987,2.6947,0.9479,0.77,9.4227,9.518,4.47,1.36,24.86,1.38,25.5,120.75,,2/15/2002,248.32,41.14,63.24,64.18,17.65,19.12,27.38,23.83,598343008,24.9181,3.6994,1.5209,1.42,11.3564,9.7394,10.31,4.59,32.64,0.85,21.87,162.2,,2/15/2002,133.1,29.42,45.95,32.43,32.43,8.11,24.3,18.11,241163200,10.6265,1.517,0.6674,3.88,4.5436,3.2783,13.82,4.95,43.41,0.81,29.29,157.81,,2/15/2002,140.99,32.66,15.38,15.38,38.46,0,26.7,27.44,906522592,30.2399,1.785,1.7205,2.19,6.2351,5.0629,13.69,3.42,55.74,0.74,22.61,85.82,,2/15/2002,139.07,48.88,86.11,75,0,10.81,25.98,24.74,214467700,36.622,2.3748,1.0734,2.08,11.2238,7.5224,6.93,2.31,18.77,1.22,12.39,84.02,,,,,,,,,,,,,,2/15/2002,118.55,,2/15/2002,4.18,,2/15/2002,90.4934,,2/15/2002,22.37
2/22/2002,306.78,40.09,7.5,12.66,11.25,8.75,49.04,35.89,3360638656,66.5438,4.2366,2.7968,0.23,18.712,26.1822,0.59,-19.18,33.87,1.92,16.39,30.64,,2/22/2002,330.12,41.1,48,52,10.67,12,24.51,25.95,612795696,18.4102,2.4177,2.5228,1.97,18.2816,#N/A N/A,16.24,10.05,#N/A N/A,#N/A N/A,18.06,532.08,,2/22/2002,212.74,43.35,66.67,33.33,12.5,0,24.08,22.39,170205100,15.4191,2.808,1.1539,2.25,7.2126,6.2582,11.6,6.46,23.93,1.08,29.5,45.4,,2/22/2002,383.32,47.23,55.56,54.55,24.44,20,18.7,15.37,440804808,28.9137,7.5459,2.9722,1.14,24.0442,16.968,14.74,9.59,41.74,1.13,15.94,43.71,,2/22/2002,228.77,57.91,82.35,82.35,20.59,2.94,14.04,12.55,201477600,22.7469,7.0654,1.5171,1.93,14.9584,10.3074,11.31,6.19,36.73,0.95,15.29,125.27,,2/22/2002,238.46,44.64,67.82,73.56,5.75,6.9,27.72,19.88,776712400,33.0791,2.6687,0.9385,0.77,9.3343,9.4275,4.47,1.36,24.85,1.38,25.55,120.67,,2/22/2002,251.31,42.01,63.24,62.69,13.24,13.24,27.44,24.79,469282296,25.2319,3.7461,1.5401,1.4,11.4994,9.8621,10.31,4.59,32.64,0.85,21.85,162.2,,2/22/2002,132.22,29.2,45.95,29.73,37.84,21.62,24.25,18.23,223011296,10.5563,1.507,0.6629,3.91,4.5136,3.2566,13.82,4.95,43.41,0.81,29.29,157.81,,2/22/2002,139.95,32.4,7.69,7.69,30.77,0,26.54,29.78,853811296,30.1482,1.7663,1.7083,2.2,6.2071,5.0325,13.66,3.38,55.74,0.74,22.55,85.45,,2/22/2002,140.59,49.59,80.56,77.78,2.7,21.62,26.06,24.15,203947600,37.7171,2.4111,1.0964,2.03,11.3702,7.6317,6.95,2.27,18.76,1.22,12.36,83.98,,,,,,,,,,,,,,2/22/2002,118.48,,2/22/2002,4.141,,2/22/2002,90.1246,,2/22/2002,22.86
3/1/2002,324.66,42.28,23.75,34.18,36.25,2.5,49.12,40.07,4129833024,71.8954,4.4533,2.9884,0.21,19.6083,28.0337,0.5,-19.5,34.14,1.93,16.56,30.12,,3/1/2002,347.65,45.1,70.67,68,18.67,4,24.6,26.33,701671200,19.4447,2.5446,2.6607,1.88,19.1579,#N/A N/A,16.3,10.1,#N/A N/A,#N/A N/A,18.15,534.38,,3/1/2002,218.68,45.2,87.5,45.83,12.5,0,24.03,20,234292500,15.8496,2.8864,1.1861,2.19,7.414,6.433,11.6,6.46,23.93,1.08,29.5,45.4,,3/1/2002,388.1,48.5,55.56,52.27,2.22,15.56,18.56,16.01,607365696,29.2247,7.6346,3.0069,1.13,24.2447,17.1545,14.76,9.6,41.74,1.13,16.01,43.66,,3/1/2002,232.8,59.8,79.41,82.35,5.88,8.82,14.07,13.22,278908300,23.1401,7.1709,1.543,1.89,15.1928,10.4807,11.31,6.19,36.79,0.98,15.32,123.49,,3/1/2002,246.93,47.12,77.01,81.61,6.9,8.05,27.64,19.66,1093210912,34.0705,2.7536,0.9694,0.74,9.6128,9.7332,4.48,1.38,24.86,1.38,25.69,120.46,,3/1/2002,263.64,45.46,85.29,73.13,11.76,4.41,27.51,24.99,632924400,26.4317,3.9224,1.6135,1.35,12.0195,10.3284,10.32,4.59,32.64,0.85,21.93,162.13,,3/1/2002,135.99,31.42,64.86,35.14,16.22,2.7,24.2,19.19,295389396,10.8892,1.5542,0.6839,3.81,4.6567,3.3585,13.83,4.96,43.43,0.81,29.2,157.88,,3/1/2002,147.2,36.11,30.77,7.69,46.15,7.69,26.55,32.33,658056200,31.71,1.8578,1.7968,2.09,6.5287,5.2932,13.66,3.38,55.74,0.74,22.55,85.45,,3/1/2002,144.1,51.21,94.44,86.11,0,13.51,26.07,19.7,220743800,38.6458,2.4725,1.1239,1.98,11.6687,7.8219,6.95,2.26,18.76,1.22,12.35,84.03,,,,,,,,,,,,,,3/1/2002,119.4,,3/1/2002,4.313,,3/1/2002,91.9384,,3/1/2002,19.96
3/8/2002,350.59,45.28,56.25,50.63,43.75,0,48.1,39.33,4677365760,77.6376,4.809,3.2271,0.2,21.1743,30.2727,0.5,-19.5,34.14,1.93,16.56,30.12,,3/8/2002,364.05,48.49,93.33,80,2.67,14.67,24.44,28.61,900605696,20.3621,2.6647,2.7863,1.8,20.0618,#N/A N/A,16.3,10.1,#N/A N/A,#N/A N/A,18.15,534.38,,3/8/2002,224.19,46.86,100,66.67,0,0,24.05,19.3,252021100,16.249,2.9591,1.216,2.13,7.6008,6.5951,11.6,6.46,23.93,1.08,29.5,45.4,,3/8/2002,384.72,47.66,51.11,56.82,4.44,11.11,18.66,16.13,709435904,28.9651,7.5668,2.9802,1.14,24.0294,17.0022,14.76,9.6,41.74,1.13,16.01,43.66,,3/8/2002,228.51,56.98,76.47,79.41,0,47.06,13.78,13.85,282114800,22.7137,7.0387,1.5146,1.93,14.9128,10.2875,11.31,6.19,36.79,0.98,15.32,123.49,,3/8/2002,250.88,48.24,82.76,82.76,10.34,16.09,27.61,20.73,1123712096,34.4097,2.7943,0.9819,0.73,9.7422,9.8492,4.49,1.39,24.87,1.38,25.75,120.42,,3/8/2002,272.18,47.69,91.18,83.58,5.88,8.82,27.62,27.34,693172496,27.2928,4.0505,1.666,1.31,12.4111,10.6649,10.32,4.59,32.64,0.85,21.93,162.13,,3/8/2002,145.25,36.48,89.19,48.65,10.81,0,24.47,21.58,364929504,11.626,1.6593,0.7302,3.58,4.9718,3.5858,13.83,4.96,43.43,0.81,29.21,157.88,,3/8/2002,148.61,36.8,30.77,15.38,38.46,7.69,26.3,32.28,826530800,32.0137,1.8756,1.8141,2.07,6.5912,5.3439,13.66,3.38,55.74,0.74,22.55,85.45,,3/8/2002,144.74,51.5,91.67,88.89,0,13.51,26.14,22.31,228064800,38.8174,2.4834,1.1289,1.97,11.7205,7.8567,6.95,2.26,18.76,1.22,12.35,84.03,,,,,,,,,,,,,,3/8/2002,117.99,,3/8/2002,4.7,,3/8/2002,95.8259,,3/8/2002,19.27
