GDP CQOQ Index,,PCE CMOM Index,,CPI MOM Index,,EHUPUS Index,,USYC2Y10 Index,,SPCSUSA Index,,,,
Date,PX_LAST,Date,PX_LAST,Date,PX_LAST,Date,PX_LAST,Date,PX_LAST,Date,PX_LAST,,,
1/4/2002,3.7,1/4/2002,0.03,1/4/2002,0.2,1/4/2002,5.7,1/4/2002,199.2,1/4/2002,116.44,,,
1/11/2002,3.7,1/11/2002,0.03,1/11/2002,0.2,1/11/2002,5.7,1/11/2002,211,1/11/2002,116.44,,,
1/18/2002,3.7,1/18/2002,0.03,1/18/2002,0.2,1/18/2002,5.7,1/18/2002,196.5,1/18/2002,116.44,,,
1/25/2002,3.7,1/25/2002,0.03,1/25/2002,0.2,1/25/2002,5.7,1/25/2002,208.5,1/25/2002,116.44,,,
2/1/2002,3.7,2/1/2002,0.19,2/1/2002,0.2,2/1/2002,5.7,2/1/2002,192.3,2/1/2002,116.92,,,
2/8/2002,3.7,2/8/2002,0.19,2/8/2002,0.2,2/8/2002,5.7,2/8/2002,189.5,2/8/2002,116.92,,,
2/15/2002,3.7,2/15/2002,0.19,2/15/2002,0.2,2/15/2002,5.7,2/15/2002,192.6,2/15/2002,116.92,,,
2/22/2002,3.7,2/22/2002,0.19,2/22/2002,0.2,2/22/2002,5.7,2/22/2002,182.05,2/22/2002,116.92,,,
3/1/2002,3.7,3/1/2002,0.13,3/1/2002,0.3,3/1/2002,5.7,3/1/2002,179.85,3/1/2002,117.93,,,
3/8/2002,3.7,3/8/2002,0.13,3/8/2002,0.3,3/8/2002,5.7,3/8/2002,178.55,3/8/2002,117.93,,,
3/15/2002,3.7,3/15/2002,0.13,3/15/2002,0.3,3/15/2002,5.7,3/15/2002,176,3/15/2002,117.93,,,
3/22/2002,3.7,3/22/2002,0.13,3/22/2002,0.3,3/22/2002,5.7,3/22/2002,177.8,3/22/2002,117.93,,,
3/29/2002,3.7,3/29/2002,0.13,3/29/2002,0.3,3/29/2002,5.7,3/29/2002,181.35,3/29/2002,117.93,,,
4/5/2002,2.2,4/5/2002,0.3,4/5/2002,0.4,4/5/2002,5.83,4/5/2002,183.15,4/5/2002,119.21,,,
4/12/2002,2.2,4/12/2002,0.3,4/12/2002,0.4,4/12/2002,5.83,4/12/2002,175.95,4/12/2002,119.21,,,
4/19/2002,2.2,4/19/2002,0.3,4/19/2002,0.4,4/19/2002,5.83,4/19/2002,185.2,4/19/2002,119.21,,,
4/26/2002,2.2,4/26/2002,0.3,4/26/2002,0.4,4/26/2002,5.83,4/26/2002,189.8,4/26/2002,119.21,,,
5/3/2002,2.2,5/3/2002,0.13,5/3/2002,0.1,5/3/2002,5.83,5/3/2002,195,5/3/2002,120.79,,,
5/10/2002,2.2,5/10/2002,0.13,5/10/2002,0.1,5/10/2002,5.83,5/10/2002,186.9,5/10/2002,120.79,,,
5/17/2002,2.2,5/17/2002,0.13,5/17/2002,0.1,5/17/2002,5.83,5/17/2002,197.2,5/17/2002,120.79,,,
5/24/2002,2.2,5/24/2002,0.13,5/24/2002,0.1,5/24/2002,5.83,5/24/2002,189.5,5/24/2002,120.79,,,
5/31/2002,2.2,5/31/2002,0.13,5/31/2002,0.1,5/31/2002,5.83,5/31/2002,185.95,5/31/2002,120.79,,,
6/7/2002,2.2,6/7/2002,0.16,6/7/2002,0.1,6/7/2002,5.83,6/7/2002,198.05,6/7/2002,122.33,,,
6/14/2002,2.2,6/14/2002,0.16,6/14/2002,0.1,6/14/2002,5.83,6/14/2002,197.45,6/14/2002,122.33,,,
6/21/2002,2.2,6/21/2002,0.16,6/21/2002,0.1,6/21/2002,5.83,6/21/2002,199.45,6/21/2002,122.33,,,
6/28/2002,2.2,6/28/2002,0.16,6/28/2002,0.1,6/28/2002,5.83,6/28/2002,201.7,6/28/2002,122.33,,,
7/5/2002,2,7/5/2002,0.19,7/5/2002,0.2,7/5/2002,5.73,7/5/2002,209.75,7/5/2002,123.69,,,
7/12/2002,2,7/12/2002,0.19,7/12/2002,0.2,7/12/2002,5.73,7/12/2002,201.35,7/12/2002,123.69,,,
7/19/2002,2,7/19/2002,0.19,7/19/2002,0.2,7/19/2002,5.73,7/19/2002,220.6,7/19/2002,123.69,,,
7/26/2002,2,7/26/2002,0.19,7/26/2002,0.2,7/26/2002,5.73,7/26/2002,214,7/26/2002,123.69,,,
8/2/2002,2,8/2/2002,0.19,8/2/2002,0.3,8/2/2002,5.73,8/2/2002,216.6,8/2/2002,124.73,,,
8/9/2002,2,8/9/2002,0.19,8/9/2002,0.3,8/9/2002,5.73,8/9/2002,224.9,8/9/2002,124.73,,,
8/16/2002,2,8/16/2002,0.19,8/16/2002,0.3,8/16/2002,5.73,8/16/2002,221.35,8/16/2002,124.73,,,
8/23/2002,2,8/23/2002,0.19,8/23/2002,0.3,8/23/2002,5.73,8/23/2002,208.666,8/23/2002,124.73,,,
8/30/2002,2,8/30/2002,0.19,8/30/2002,0.3,8/30/2002,5.73,8/30/2002,198.907,8/30/2002,124.73,,,
9/6/2002,2,9/6/2002,0.15,9/6/2002,0.2,9/6/2002,5.73,9/6/2002,198.042,9/6/2002,125.49,,,
9/13/2002,2,9/13/2002,0.15,9/13/2002,0.2,9/13/2002,5.73,9/13/2002,186.466,9/13/2002,125.49,,,
9/20/2002,2,9/20/2002,0.15,9/20/2002,0.2,9/20/2002,5.73,9/20/2002,186.767,9/20/2002,125.49,,,
9/27/2002,2,9/27/2002,0.15,9/27/2002,0.2,9/27/2002,5.73,9/27/2002,180.124,9/27/2002,125.49,,,
10/4/2002,0.3,10/4/2002,0.09,10/4/2002,0.2,10/4/2002,5.87,10/4/2002,188.218,10/4/2002,126.14,,,
10/11/2002,0.3,10/11/2002,0.09,10/11/2002,0.2,10/11/2002,5.87,10/11/2002,198.12,10/11/2002,126.14,,,
10/18/2002,0.3,10/18/2002,0.09,10/18/2002,0.2,10/18/2002,5.87,10/18/2002,205.915,10/18/2002,126.14,,,
10/25/2002,0.3,10/25/2002,0.09,10/25/2002,0.2,10/25/2002,5.87,10/25/2002,210.746,10/25/2002,126.14,,,
11/1/2002,0.3,11/1/2002,0.1,11/1/2002,0.2,11/1/2002,5.87,11/1/2002,223.78,11/1/2002,126.64,,,
11/8/2002,0.3,11/8/2002,0.1,11/8/2002,0.2,11/8/2002,5.87,11/8/2002,200.374,11/8/2002,126.64,,,
11/15/2002,0.3,11/15/2002,0.1,11/15/2002,0.2,11/15/2002,5.87,11/15/2002,215.739,11/15/2002,126.64,,,
11/22/2002,0.3,11/22/2002,0.1,11/22/2002,0.2,11/22/2002,5.87,11/22/2002,211.742,11/22/2002,126.64,,,
11/29/2002,0.3,11/29/2002,0.1,11/29/2002,0.2,11/29/2002,5.87,11/29/2002,219.383,11/29/2002,126.64,,,
12/6/2002,0.3,12/6/2002,0.08,12/6/2002,0.2,12/6/2002,5.87,12/6/2002,221.342,12/6/2002,127.15,,,
12/13/2002,0.3,12/13/2002,0.08,12/13/2002,0.2,12/13/2002,5.87,12/13/2002,222.531,12/13/2002,127.15,,,
12/20/2002,0.3,12/20/2002,0.08,12/20/2002,0.2,12/20/2002,5.87,12/20/2002,222.888,12/20/2002,127.15,,,
12/27/2002,0.3,12/27/2002,0.08,12/27/2002,0.2,12/27/2002,5.87,12/27/2002,221.085,12/27/2002,127.15,,,
1/3/2003,2.1,1/3/2003,0.03,1/3/2003,0.4,1/3/2003,5.87,1/3/2003,226.482,1/3/2003,127.65,,,
