M2US000$ Index,,,M2US000V Index,,,M2USQU Index,,,M2USSC Index,,,M2US000G Index,,,M2USMVOL Index,,,M2USAHDV Index,
Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST
1/4/2002,489.38,,1/4/2002,4748.48,,1/4/2002,628.23,,1/4/2002,119.86,,1/4/2002,3220.36,,1/4/2002,1007.13,,1/4/2002,1003.47
1/11/2002,481.92,,1/11/2002,4605.14,,1/11/2002,619.51,,1/11/2002,117.2,,1/11/2002,3172.37,,1/11/2002,988.1,,1/11/2002,984.51
1/18/2002,486.34,,1/18/2002,4509.62,,1/18/2002,611.66,,1/18/2002,112.74,,1/18/2002,3143.34,,1/18/2002,982.49,,1/18/2002,979.63
1/25/2002,491.44,,1/25/2002,4553.12,,1/25/2002,613.37,,1/25/2002,114.17,,1/25/2002,3139.14,,1/25/2002,988.87,,1/25/2002,989.19
2/1/2002,493.14,,2/1/2002,4477.01,,2/1/2002,616.9,,2/1/2002,113.89,,2/1/2002,3125.01,,2/1/2002,988.23,,2/1/2002,987.31
2/8/2002,486.04,,2/8/2002,4355.23,,2/8/2002,604.15,,2/8/2002,110.58,,2/8/2002,3076.08,,2/8/2002,973.34,,2/8/2002,968.67
2/15/2002,493.04,,2/15/2002,4371.41,,2/15/2002,612.49,,2/15/2002,111.16,,2/15/2002,3105.49,,2/15/2002,988.47,,2/15/2002,989.32
2/22/2002,493.18,,2/22/2002,4286.84,,2/22/2002,607.1,,2/22/2002,109.36,,2/22/2002,3088.97,,2/22/2002,989.86,,2/22/2002,997.03
3/1/2002,507.69,,3/1/2002,4488.19,,3/1/2002,625.51,,3/1/2002,113.4,,3/1/2002,3190.98,,3/1/2002,1020.93,,3/1/2002,1032.2
3/8/2002,510.2,,3/8/2002,4712.61,,3/8/2002,634.64,,3/8/2002,119.21,,3/8/2002,3212.98,,3/8/2002,1032.21,,3/8/2002,1044.01
3/15/2002,518.8,,3/15/2002,4704.76,,3/15/2002,634.92,,3/15/2002,118.62,,3/15/2002,3231.48,,3/15/2002,1046.28,,3/15/2002,1058.28
3/22/2002,516.69,,3/22/2002,4638.26,,3/22/2002,626.19,,3/22/2002,119.64,,3/22/2002,3177.78,,3/22/2002,1037.5,,3/22/2002,1040.77
3/29/2002,518,,3/29/2002,4649.44,,3/29/2002,624.75,,3/29/2002,120.85,,3/29/2002,3157.03,,3/29/2002,1036.15,,3/29/2002,1041.28
4/5/2002,513.91,,4/5/2002,4568.38,,4/5/2002,607.11,,4/5/2002,118.7,,4/5/2002,3073.03,,4/5/2002,1025.89,,4/5/2002,1028.68
4/12/2002,521.07,,4/12/2002,4499.74,,4/12/2002,601.88,,4/12/2002,122.29,,4/12/2002,3042.15,,4/12/2002,1025.86,,4/12/2002,1022.39
4/19/2002,524.91,,4/19/2002,4601.66,,4/19/2002,606.92,,4/19/2002,123.16,,4/19/2002,3048.21,,4/19/2002,1031.05,,4/19/2002,1033.45
4/26/2002,516.92,,4/26/2002,4390.11,,4/26/2002,582.56,,4/26/2002,119.22,,4/26/2002,2918.28,,4/26/2002,1000.83,,4/26/2002,1005.74
5/3/2002,523.03,,5/3/2002,4387.72,,5/3/2002,578.38,,5/3/2002,120.61,,5/3/2002,2898.21,,5/3/2002,1008.82,,5/3/2002,1020.55
5/10/2002,514.68,,5/10/2002,4332.79,,5/10/2002,570.56,,5/10/2002,116.57,,5/10/2002,2838.79,,5/10/2002,992.03,,5/10/2002,1002.12
5/17/2002,524.25,,5/17/2002,4550.18,,5/17/2002,600.98,,5/17/2002,120.32,,5/17/2002,2990.41,,5/17/2002,1017.19,,5/17/2002,1033.75
5/24/2002,519.54,,5/24/2002,4468.63,,5/24/2002,584.98,,5/24/2002,117,,5/24/2002,2917.27,,5/24/2002,1009.21,,5/24/2002,1029.01
5/31/2002,519.4,,5/31/2002,4390.83,,5/31/2002,577.37,,5/31/2002,115.3,,5/31/2002,2874.96,,5/31/2002,999.99,,5/31/2002,1021.75
6/7/2002,508.09,,6/7/2002,4213.19,,6/7/2002,559.02,,6/7/2002,110.8,,6/7/2002,2769.42,,6/7/2002,970.34,,6/7/2002,988.19
6/14/2002,500.71,,6/14/2002,4113.61,,6/14/2002,551.46,,6/14/2002,107.59,,6/14/2002,2729.11,,6/14/2002,955.43,,6/14/2002,972.39
6/21/2002,502.38,,6/21/2002,4071.64,,6/21/2002,536.36,,6/21/2002,107.45,,6/21/2002,2645.17,,6/21/2002,951.58,,6/21/2002,966.26
6/28/2002,492.89,,6/28/2002,4073.2,,6/28/2002,537.13,,6/28/2002,108.02,,6/28/2002,2644.36,,6/28/2002,944.9,,6/28/2002,965.95
7/5/2002,491.64,,7/5/2002,4045.88,,7/5/2002,538.76,,7/5/2002,103.63,,7/5/2002,2657.16,,7/5/2002,938.22,,7/5/2002,964.68
7/12/2002,458.83,,7/12/2002,3791.76,,7/12/2002,499.75,,7/12/2002,96.75,,7/12/2002,2472.26,,7/12/2002,872.54,,7/12/2002,899.69
7/19/2002,416.65,,7/19/2002,3482.67,,7/19/2002,458.87,,7/19/2002,89.82,,7/19/2002,2295.51,,7/19/2002,800.39,,7/19/2002,821.62
7/26/2002,438.49,,7/26/2002,3402.51,,7/26/2002,477.16,,7/26/2002,89.49,,7/26/2002,2377.77,,7/26/2002,831.03,,7/26/2002,854.96
8/2/2002,447.24,,8/2/2002,3450.45,,8/2/2002,482.74,,8/2/2002,88.52,,8/2/2002,2412.75,,8/2/2002,849.25,,8/2/2002,875.15
8/9/2002,467.36,,8/9/2002,3630.59,,8/9/2002,505.09,,8/9/2002,91.91,,8/9/2002,2541.09,,8/9/2002,884.93,,8/9/2002,924.26
8/16/2002,470.37,,8/16/2002,3707.65,,8/16/2002,518.24,,8/16/2002,94.34,,8/16/2002,2601.44,,8/16/2002,895.74,,8/16/2002,926.3
8/23/2002,471.42,,8/23/2002,3754.54,,8/23/2002,523.73,,8/23/2002,95.65,,8/23/2002,2636.97,,8/23/2002,906.12,,8/23/2002,931.23
8/30/2002,468.91,,8/30/2002,3673.89,,8/30/2002,508.68,,8/30/2002,93.47,,8/30/2002,2549.8,,8/30/2002,892.43,,8/30/2002,914.87
9/6/2002,464.86,,9/6/2002,3574.31,,9/6/2002,497.31,,9/6/2002,93.44,,9/6/2002,2491.54,,9/6/2002,873.39,,9/6/2002,887.23
9/13/2002,462.59,,9/13/2002,3539.19,,9/13/2002,499.54,,9/13/2002,93.18,,9/13/2002,2488.11,,9/13/2002,868.87,,9/13/2002,873.8
9/20/2002,446.14,,9/20/2002,3347.71,,9/20/2002,475.62,,9/20/2002,87.39,,9/20/2002,2367.48,,9/20/2002,831.37,,9/20/2002,836.65
9/27/2002,443.09,,9/27/2002,3285.74,,9/27/2002,465.32,,9/27/2002,86.7,,9/27/2002,2309.09,,9/27/2002,816.37,,9/27/2002,810.47
10/4/2002,427.64,,10/4/2002,3151.91,,10/4/2002,456.85,,10/4/2002,82.75,,10/4/2002,2257.14,,10/4/2002,795.39,,10/4/2002,785.95
10/11/2002,436.02,,10/11/2002,3273.05,,10/11/2002,481.23,,10/11/2002,83.17,,10/11/2002,2371.32,,10/11/2002,814.1,,10/11/2002,807.46
10/18/2002,450.52,,10/18/2002,3463.01,,10/18/2002,507.17,,10/18/2002,88.07,,10/18/2002,2517.43,,10/18/2002,845.6,,10/18/2002,858.98
